year,DEP,Ludovic_proportion,Jean_proportion,Victor_proportion,Marie_proportion,Jeanne_proportion,Sophie_proportion
1921,18,0,0.0907723169508526,0.00250752256770311,0.0660749506903353,0.0611439842209073,0
1922,18,0,0.0947312400212879,0.00159659393294305,0.0623689727463312,0.0587002096436059,0
1923,18,0,0.0979057591623037,0,0.0661246612466125,0.0574525745257453,0
1924,18,0,0.111498257839721,0,0.0571266968325792,0.0593891402714932,0
1925,18,0,0.0979636763896533,0,0.0501653803748622,0.0424476295479603,0
1926,18,0,0.115088105726872,0,0.0496996176952485,0.0420535226652103,0
1927,18,0,0.11123595505618,0,0.0490196078431373,0.0430283224400871,0
1928,18,0,0.120855614973262,0,0.0440286186020914,0.0374243258117777,0
1929,18,0,0.129222520107239,0,0.0510204081632653,0.0272108843537415,0
1930,18,0,0.125410733844469,0,0.0391705069124424,0.0305299539170507,0
1931,18,0,0.114093959731544,0.00167785234899329,0.0386740331491713,0.025414364640884,0
1932,18,0,0.137492778740612,0,0.0485327313769752,0.0225733634311512,0
1933,18,0,0.141063956963539,0,0.0472488038277512,0.0221291866028708,0
1934,18,0,0.142687981053878,0,0.0443076923076923,0.0190769230769231,0
1935,18,0,0.150564617314931,0,0.0464240903387704,0.0200752823086575,0
1936,18,0,0.13751507840772,0,0.0540888602704443,0.0154539600772698,0
1937,18,0,0.14321295143213,0,0.0460358056265985,0.0159846547314578,0
1938,18,0,0.129688493324857,0,0.043800539083558,0.0154986522911051,0
1939,18,0,0.176434676434676,0,0.0748379493223335,0.0129640542133176,0
1940,18,0,0.158083832335329,0,0.0687898089171975,0.0159235668789809,0
1941,18,0,0.137627118644068,0,0.057204923968139,0.0108616944243302,0
1942,18,0,0.133123028391167,0,0.0425257731958763,0.00966494845360825,0
1943,18,0,0.142378559463987,0,0.0589636688505063,0.00714711137581894,0
1944,18,0,0.134825611660593,0,0.0781848004373975,0.00929469655549481,0
1945,18,0,0.151857835218094,0.00161550888529887,0.0794886047804336,0.00778210116731518,0
1946,18,0,0.122503840245776,0,0.070097244732577,0.00486223662884927,0
1947,18,0,0.191448382126348,0,0.104808877928483,0.00698725852856556,0
1948,18,0,0.0899705014749263,0,0.045697818032112,0.00370522848909016,0
1949,18,0,0.117080994386528,0,0.0508033000434216,0.00347372991749891,0
1950,18,0,0.162818003913894,0,0.0860637833114897,0.00218435998252512,0
1951,18,0,0.109059682267067,0,0.0766758494031221,0.00137741046831956,0
1952,18,0,0.0719729043183743,0,0.0497981157469717,0.00134589502018843,0
1953,18,0,0.0515320334261838,0,0.0208136234626301,0.00141911069063387,0
1954,18,0,0.0278022947925861,0,0.0109780439121756,0.00149700598802395,0
1955,18,0,0.0278810408921933,0,0.0143472022955524,0,0
1956,18,0,0.0235346358792185,0,0.0194029850746269,0,0.00298507462686567
1957,18,0,0.024113475177305,0,0.0156328794755421,0,0.00151285930408472
1958,18,0,0.0222854433380749,0,0.0159441953163926,0,0.00398604882909816
